Year,Smoking,Smoking_unadj
1999,0.22910373586429322,0.22910373586429322
2000,0.22584744116040315,0.22584744116040315
2001,0.2231093701908687,0.2231093701908687
2002,0.2282818765044687,0.2282818765044687
2003,0.22643209587102198,0.22643209587102198
2004,0.22244923162558353,0.22244923162558353
2005,0.20775939730884627,0.20775939730884627
2006,0.2054716828256187,0.2054716828256187
2007,0.19663624704063284,0.19663624704063284
2008,0.1945249637080928,0.1945249637080928
2009,0.1849408980811906,0.1849408980811906
2010,0.1800568515994332,0.1800568515994332
2011,0.1708149002702697,0.1708149002702697
2012,0.16472948792531933,0.20116523765834066
2013,0.15451264559749617,0.18861755563327914
2014,0.14885429379751314,0.18160096923153812
2015,0.14230560004038523,0.17356197380226077
2016,0.13709523053112763,0.1671548320101176
